,Harga produsen,Harga pedagang
2023-01-02,24800.0,25250.0
2023-01-03,24800.0,25250.0
2023-01-04,24800.0,25250.0
2023-01-05,24800.0,24250.0
2023-01-06,24800.0,24250.0
2023-01-09,24800.0,24250.0
2023-01-10,24800.0,24250.0
2023-01-11,24800.0,24250.0
2023-01-12,24800.0,23750.0
2023-01-13,24800.0,23750.0
2023-01-16,24800.0,23750.0
2023-01-17,24800.0,23750.0
2023-01-18,24800.0,23750.0
2023-01-19,24800.0,24250.0
2023-01-20,24800.0,24250.0
2023-01-23,24800.0,24250.0
2023-01-25,22250.0,24250.0
2023-01-26,22250.0,24000.0
2023-01-27,22250.0,24000.0
2023-01-30,22250.0,24000.0
2023-01-31,22250.0,24000.0
2023-02-01,22250.0,24000.0
2023-02-02,22250.0,22250.0
2023-02-03,22250.0,22250.0
2023-02-06,22250.0,22250.0
2023-02-07,22250.0,22250.0
2023-02-08,22250.0,22250.0
2023-02-09,22250.0,23750.0
2023-02-10,22250.0,23750.0
2023-02-13,22250.0,23750.0
2023-02-14,22250.0,23750.0
2023-02-15,22250.0,23750.0
2023-02-16,22250.0,24250.0
2023-02-17,22250.0,24250.0
2023-02-20,22250.0,24250.0
2023-02-21,22250.0,24250.0
2023-02-22,22250.0,24250.0
2023-02-23,22250.0,24000.0
2023-02-24,22750.0,24000.0
2023-02-27,22750.0,24000.0
2023-02-28,22750.0,24000.0
2023-03-01,22750.0,24000.0
2023-03-02,22750.0,24000.0
2023-03-03,22750.0,24000.0
2023-03-06,22750.0,24000.0
2023-03-07,22750.0,24000.0
2023-03-08,22750.0,24000.0
2023-03-09,22750.0,23650.0
2023-03-10,22750.0,23650.0
2023-03-13,22750.0,23650.0
2023-03-14,22750.0,23650.0
2023-03-15,22750.0,23650.0
2023-03-16,22750.0,24750.0
2023-03-17,22750.0,24750.0
2023-03-20,22750.0,24750.0
2023-03-21,22750.0,24750.0
2023-03-22,22750.0,24750.0
2023-03-23,22750.0,25250.0
2023-03-24,24800.0,25250.0
2023-03-27,24800.0,25250.0
2023-03-28,24800.0,25250.0
2023-03-29,24800.0,25250.0
2023-03-30,24800.0,26500.0
2023-03-31,24800.0,26500.0
2023-04-03,24800.0,26500.0
2023-04-04,24800.0,26500.0
2023-04-05,24800.0,26500.0
2023-04-06,24800.0,26000.0
2023-04-07,24800.0,26000.0
2023-04-10,24800.0,26000.0
2023-04-11,24800.0,26000.0
2023-04-12,24800.0,26000.0
2023-04-13,24800.0,25500.0
2023-04-14,24800.0,25500.0
2023-04-17,24800.0,25500.0
2023-04-18,24800.0,25500.0
2023-04-19,24800.0,25500.0
2023-04-20,24800.0,25500.0
2023-04-26,24950.0,25500.0
2023-04-27,24950.0,24750.0
2023-04-28,24950.0,24750.0
2023-05-01,24950.0,24750.0
2023-05-02,24950.0,24750.0
2023-05-03,24950.0,24750.0
2023-05-04,24950.0,24250.0
2023-05-05,24950.0,24250.0
2023-05-08,24950.0,24250.0
2023-05-09,24950.0,24250.0
2023-05-10,24950.0,24250.0
2023-05-11,24950.0,27000.0
2023-05-12,24950.0,27000.0
2023-05-15,24950.0,27000.0
2023-05-16,24950.0,27000.0
2023-05-17,24950.0,27000.0
2023-05-18,24950.0,27000.0
2023-05-19,24950.0,27000.0
2023-05-22,24950.0,27000.0
2023-05-23,24950.0,27000.0
2023-05-24,24950.0,27000.0
2023-05-25,27000.0,28000.0
2023-05-26,27000.0,28000.0
2023-05-29,27000.0,28000.0
2023-05-30,27000.0,28000.0
2023-05-31,27000.0,27250.0
2023-06-01,27000.0,27250.0
2023-06-02,27000.0,27250.0
2023-06-05,27000.0,27250.0
2023-06-06,27000.0,27250.0
2023-06-07,27000.0,27250.0
2023-06-08,27000.0,26000.0
2023-06-09,27000.0,26000.0
2023-06-12,27000.0,26000.0
2023-06-13,27000.0,26000.0
2023-06-14,27000.0,26000.0
2023-06-15,27000.0,26250.0
2023-06-16,27000.0,26250.0
2023-06-19,27000.0,26250.0
2023-06-20,27000.0,26250.0
2023-06-21,27000.0,26250.0
2023-06-22,27000.0,26250.0
2023-06-23,26600.0,26250.0
2023-06-26,26600.0,26250.0
2023-06-27,26600.0,26250.0
2023-06-28,26600.0,26250.0
2023-06-29,26600.0,26750.0
2023-06-30,26600.0,26750.0
2023-07-03,26600.0,26750.0
2023-07-04,26600.0,26750.0
2023-07-05,26600.0,26750.0
2023-07-06,26600.0,26250.0
2023-07-07,26600.0,26250.0
2023-07-10,26600.0,26250.0
2023-07-11,26600.0,26250.0
2023-07-12,26600.0,26250.0
2023-07-13,26600.0,26750.0
2023-07-14,26600.0,26750.0
2023-07-17,26600.0,26750.0
2023-07-18,26600.0,26750.0
2023-07-19,26600.0,26750.0
2023-07-20,26600.0,26250.0
2023-07-21,26600.0,26250.0
2023-07-24,26600.0,26250.0
2023-07-25,27350.0,26250.0
2023-07-26,27350.0,26250.0
2023-07-27,27350.0,25250.0
2023-07-28,27350.0,25250.0
2023-07-31,27350.0,25250.0
2023-08-01,27350.0,25250.0
2023-08-02,27350.0,25250.0
2023-08-03,27350.0,26250.0
2023-08-04,27350.0,26250.0
2023-08-07,27350.0,26250.0
2023-08-08,27350.0,26250.0
2023-08-09,27350.0,26250.0
2023-08-10,27350.0,26000.0
2023-08-11,27350.0,26000.0
2023-08-14,27350.0,26000.0
2023-08-15,27350.0,26000.0
2023-08-16,27350.0,26000.0
2023-08-17,27350.0,26000.0
2023-08-18,27350.0,26000.0
2023-08-21,27350.0,26000.0
2023-08-22,27350.0,26000.0
2023-08-23,27350.0,26000.0
2023-08-24,27350.0,25000.0
2023-08-25,25900.0,25000.0
2023-08-28,25900.0,25000.0
2023-08-29,25900.0,25000.0
2023-08-30,25900.0,25000.0
2023-08-31,25900.0,25250.0
2023-09-01,25900.0,25250.0
2023-09-04,25900.0,25250.0
2023-09-05,25900.0,25250.0
2023-09-06,25900.0,25250.0
2023-09-07,25900.0,25250.0
2023-09-08,25900.0,25250.0
2023-09-11,25900.0,25250.0
2023-09-12,25900.0,25250.0
2023-09-13,25900.0,25250.0
2023-09-14,25900.0,25000.0
2023-09-15,25900.0,25000.0
2023-09-18,25900.0,25000.0
2023-09-19,25900.0,25000.0
2023-09-20,25900.0,25000.0
2023-09-21,25900.0,22750.0
2023-09-22,25900.0,22750.0
2023-09-25,24050.0,22750.0
2023-09-26,24050.0,22750.0
2023-09-27,24050.0,22750.0
2023-09-28,24050.0,22750.0
2023-09-29,24050.0,23250.0
2023-10-02,24050.0,23250.0
2023-10-03,24050.0,23250.0
2023-10-04,24050.0,23250.0
2023-10-05,24050.0,23000.0
2023-10-06,24050.0,23000.0
2023-10-09,24050.0,23000.0
2023-10-10,24050.0,23000.0
2023-10-11,24050.0,23000.0
2023-10-12,24050.0,22650.0
2023-10-13,24050.0,22650.0
2023-10-16,24050.0,22650.0
2023-10-17,24050.0,22650.0
2023-10-18,24050.0,22650.0
2023-10-19,24050.0,23000.0
2023-10-20,24050.0,23000.0
2023-10-23,24050.0,23000.0
2023-10-24,24050.0,23000.0
2023-10-25,23650.0,23000.0
2023-10-26,23650.0,22650.0
2023-10-27,23700.0,22650.0
2023-10-30,23700.0,22650.0
2023-10-31,23700.0,22650.0
2023-11-01,23700.0,22650.0
2023-11-02,23700.0,22650.0
2023-11-03,23700.0,22650.0
2023-11-06,23700.0,22650.0
2023-11-07,23700.0,22650.0
2023-11-08,23700.0,22650.0
2023-11-09,23700.0,23000.0
2023-11-10,23700.0,23000.0
2023-11-13,23700.0,23000.0
2023-11-14,23700.0,23000.0
2023-11-15,23700.0,23000.0
2023-11-16,23700.0,24750.0
2023-11-17,23700.0,26500.0
2023-11-20,23700.0,26500.0
2023-11-21,23700.0,26500.0
2023-11-22,23700.0,26500.0
2023-11-23,23700.0,26250.0
2023-11-24,23700.0,26000.0
2023-11-27,25150.0,26000.0
2023-11-28,25150.0,26000.0
2023-11-29,25150.0,26000.0
2023-11-30,25150.0,25900.0
2023-12-01,25150.0,25900.0
2023-12-04,25150.0,25900.0
2023-12-05,25150.0,25900.0
2023-12-06,25150.0,25900.0
2023-12-07,25150.0,25000.0
2023-12-08,25150.0,25000.0
2023-12-11,25150.0,25000.0
2023-12-12,25150.0,25000.0
2023-12-13,25150.0,25000.0
2023-12-14,25150.0,25000.0
2023-12-15,25150.0,25000.0
2023-12-18,25150.0,25000.0
2023-12-19,25150.0,25000.0
2023-12-20,25150.0,25000.0
2023-12-21,25150.0,25500.0
2023-12-22,25150.0,25500.0
2023-12-25,25150.0,25500.0
2023-12-26,25150.0,25500.0
2023-12-27,24800.0,25500.0
2023-12-28,24800.0,25000.0
2023-12-29,24800.0,25000.0
2024-01-01,24800.0,25000.0
2024-01-02,24800.0,25000.0
2024-01-03,24800.0,25000.0
2024-01-04,24800.0,24500.0
2024-01-05,24800.0,24500.0
2024-01-08,24800.0,24500.0
2024-01-09,24800.0,24500.0
2024-01-10,24800.0,24500.0
2024-01-11,24800.0,23650.0
2024-01-12,24800.0,23650.0
2024-01-15,24800.0,23650.0
2024-01-16,24800.0,23650.0
2024-01-17,24800.0,23650.0
2024-01-18,24800.0,23500.0
2024-01-19,24800.0,23500.0
2024-01-22,24800.0,23500.0
2024-01-23,24800.0,23500.0
2024-01-24,24800.0,23500.0
2024-01-25,23500.0,23500.0
2024-01-26,23500.0,23500.0
2024-01-29,23500.0,23500.0
2024-01-30,23500.0,23500.0
2024-01-31,23500.0,23500.0
2024-02-01,23500.0,24000.0
2024-02-02,23500.0,24000.0
2024-02-05,23500.0,24000.0
2024-02-06,23500.0,24000.0
2024-02-07,23500.0,24000.0
2024-02-08,23500.0,24000.0
2024-02-12,23500.0,24000.0
2024-02-13,23500.0,24000.0
2024-02-14,23500.0,24000.0
2024-02-15,23500.0,24000.0
2024-02-16,23500.0,24000.0
2024-02-19,23500.0,24000.0
2024-02-20,23500.0,24000.0
2024-02-21,23500.0,24000.0
2024-02-22,23500.0,27500.0
2024-02-23,23500.0,27500.0
2024-02-26,26350.0,27500.0
2024-02-27,26350.0,27500.0
2024-02-28,26350.0,27500.0
2024-02-29,26350.0,27500.0
2024-03-01,26350.0,27500.0
2024-03-04,26350.0,27500.0
2024-03-05,26350.0,27500.0
2024-03-06,26350.0,27500.0
2024-03-07,26350.0,27750.0
2024-03-08,26350.0,27750.0
2024-03-11,26350.0,27750.0
2024-03-12,26350.0,27750.0
2024-03-13,26350.0,27750.0
2024-03-14,26350.0,28000.0
2024-03-15,26350.0,28000.0
2024-03-18,26350.0,28000.0
2024-03-19,26350.0,28000.0
2024-03-20,26350.0,28000.0
2024-03-21,26350.0,29000.0
2024-03-22,26350.0,29000.0
2024-03-25,25350.0,29000.0
2024-03-26,25350.0,29000.0
2024-03-27,25350.0,29000.0
2024-03-28,25350.0,28250.0
2024-03-29,25350.0,28250.0
2024-04-01,25350.0,28250.0
2024-04-02,25350.0,28250.0
2024-04-03,25350.0,28250.0
2024-04-04,25350.0,26750.0
2024-04-05,25350.0,26750.0
2024-04-08,25350.0,26750.0
2024-04-09,25350.0,26750.0
2024-04-10,25350.0,26750.0
2024-04-11,25350.0,26750.0
2024-04-12,25350.0,26750.0
2024-04-15,25350.0,26750.0
2024-04-16,25350.0,26750.0
2024-04-17,25350.0,26750.0
2024-04-18,25350.0,26750.0
2024-04-19,25350.0,26750.0
2024-04-22,25350.0,26750.0
2024-04-23,25350.0,26750.0
2024-04-24,25350.0,26750.0
2024-04-25,24900.0,25200.0
2024-04-26,24900.0,25200.0
2024-04-29,24900.0,25200.0
2024-04-30,24900.0,25200.0
2024-05-01,24900.0,25200.0
2024-05-02,24900.0,25200.0
2024-05-03,24900.0,25200.0
2024-05-06,24900.0,25200.0
2024-05-07,24900.0,25200.0
2024-05-08,24900.0,25200.0
2024-05-09,24900.0,25200.0
2024-05-16,24900.0,27250.0
2024-05-17,24900.0,27250.0
2024-05-20,24900.0,27250.0
2024-05-21,24900.0,27250.0
2024-05-22,24900.0,27250.0
2024-05-23,24900.0,27250.0
2024-05-24,25450.0,27250.0
2024-05-27,25550.0,27250.0
2024-05-28,25550.0,27250.0
2024-05-29,25550.0,27250.0
2024-05-30,25450.0,27500.0
2024-05-31,25450.0,27500.0
2024-06-03,25450.0,27500.0
2024-06-04,25450.0,27500.0
2024-06-05,25450.0,27500.0
2024-06-06,25450.0,27250.0
2024-06-07,25450.0,27250.0
2024-06-10,25450.0,27250.0
2024-06-11,25450.0,27250.0
2024-06-12,25450.0,27250.0
2024-06-13,25450.0,27250.0
2024-06-14,25450.0,27250.0
2024-06-17,25450.0,27250.0
2024-06-18,25450.0,27250.0
2024-06-19,25450.0,27250.0
2024-06-20,25450.0,27000.0
2024-06-21,25450.0,27000.0
2024-06-24,25450.0,27000.0
2024-06-25,25450.0,27000.0
2024-06-26,25450.0,27000.0
2024-06-27,25450.0,27000.0
2024-06-28,25450.0,27000.0
2024-07-01,25450.0,27000.0
2024-07-02,25450.0,27000.0
2024-07-03,25450.0,27000.0
2024-07-04,25450.0,27000.0
2024-07-05,25450.0,27000.0
2024-07-08,25450.0,27000.0
2024-07-09,25450.0,27000.0
2024-07-10,25450.0,27000.0
2024-07-11,25450.0,24750.0
2024-07-12,25450.0,24750.0
2024-07-15,25450.0,24750.0
2024-07-16,25450.0,24750.0
2024-07-17,25450.0,24750.0
2024-07-18,25450.0,24500.0
2024-07-19,25450.0,24500.0
2024-07-22,25450.0,24500.0
2024-07-23,25450.0,24500.0
2024-07-24,25450.0,24500.0
2024-07-25,24700.0,24500.0
2024-07-26,24700.0,24500.0
2024-07-29,24700.0,24500.0
2024-07-30,24700.0,24500.0
2024-07-31,24700.0,24500.0
2024-08-01,24700.0,25000.0
2024-08-02,24700.0,25000.0
2024-08-05,24700.0,25000.0
2024-08-06,24700.0,25000.0
2024-08-07,24700.0,25000.0
2024-08-08,24700.0,25000.0
2024-08-09,24700.0,25000.0
2024-08-12,24700.0,25000.0
2024-08-13,24700.0,25000.0
2024-08-14,24700.0,25000.0
2024-08-15,24700.0,25000.0
2024-08-16,24700.0,25000.0
2024-08-19,24700.0,25000.0
2024-08-20,24700.0,25000.0
2024-08-21,24700.0,25000.0
2024-08-22,24700.0,25000.0
2024-08-23,24700.0,25000.0
2024-08-26,24550.0,25000.0
2024-08-27,24550.0,25000.0
2024-08-28,24550.0,25000.0
2024-08-29,24550.0,25750.0
2024-08-30,24550.0,25750.0
2024-09-02,24550.0,25750.0
2024-09-03,24550.0,25750.0
2024-09-04,24550.0,25750.0
2024-09-05,24550.0,23500.0
2024-09-06,24550.0,23500.0
2024-09-09,24550.0,23500.0
2024-09-10,24550.0,23500.0
2024-09-11,24550.0,23500.0
2024-09-12,24550.0,23500.0
2024-09-13,24550.0,23500.0
2024-09-16,24550.0,23500.0
2024-09-17,24550.0,23500.0
2024-09-18,24550.0,23500.0
2024-09-19,24550.0,23500.0
2024-09-20,24550.0,23500.0
2024-09-23,24550.0,23500.0
2024-09-24,24550.0,23500.0
2024-09-25,24400.0,23500.0
2024-09-26,24400.0,23500.0
2024-09-27,24400.0,23500.0
2024-09-30,24400.0,23500.0
2024-10-01,24400.0,23500.0
2024-10-02,24400.0,23500.0
2024-10-03,24400.0,23750.0
2024-10-04,24400.0,23750.0
2024-10-07,24400.0,23750.0
2024-10-08,24400.0,23750.0
2024-10-09,24400.0,23750.0
2024-10-10,24400.0,24750.0
2024-10-11,24400.0,24750.0
2024-10-14,24400.0,24750.0
2024-10-15,24400.0,24750.0
2024-10-16,24400.0,24750.0
2024-10-17,24400.0,23450.0
2024-10-18,24400.0,23450.0
2024-10-21,24400.0,23450.0
2024-10-22,24400.0,23450.0
2024-10-23,24400.0,23450.0
2024-10-24,24400.0,23450.0
2024-10-25,23300.0,23450.0
2024-10-28,23300.0,23450.0
2024-10-29,23300.0,23450.0
2024-10-30,23300.0,23450.0
2024-10-31,23300.0,22250.0
2024-11-01,23300.0,22250.0
2024-11-04,23300.0,22250.0
2024-11-05,23300.0,22250.0
2024-11-06,23300.0,22250.0
2024-11-07,23300.0,24250.0
2024-11-08,23300.0,24250.0
2024-11-11,23300.0,24250.0
2024-11-12,23300.0,24250.0
2024-11-13,23300.0,24250.0
2024-11-14,23300.0,24250.0
2024-11-15,23300.0,24250.0
2024-11-18,23300.0,24250.0
2024-11-19,23300.0,24250.0
2024-11-20,23300.0,24250.0
2024-11-21,23300.0,24250.0
2024-11-22,23300.0,24250.0
2024-11-25,23950.0,24250.0
2024-11-26,23950.0,24250.0
2024-11-27,23950.0,24250.0
2024-11-28,23950.0,24250.0
2024-11-29,23950.0,24250.0
2024-12-02,23950.0,24250.0
2024-12-03,23950.0,24250.0
2024-12-04,23950.0,24250.0
2024-12-05,23950.0,24000.0
2024-12-06,23950.0,24000.0
2024-12-09,23950.0,24000.0
2024-12-10,23950.0,24000.0
2024-12-11,23950.0,24000.0
2024-12-12,23950.0,25000.0
2024-12-13,23950.0,25000.0
2024-12-16,23950.0,25000.0
2024-12-17,23950.0,25000.0
2024-12-18,23950.0,25000.0
2024-12-19,23950.0,27250.0
2024-12-20,23950.0,27250.0
2024-12-23,23950.0,27250.0
2024-12-24,23950.0,27250.0
2024-12-25,23950.0,27250.0
2024-12-26,23950.0,27250.0
2024-12-27,25850.0,26000.0
2024-12-30,25850.0,26000.0
